COMMODITY,TECHNOLOGY,Description,Sector,Fuel,Category 1,Category 2
,MINWND,Wind Resource,Primary fuel supply,Wind,Resource,
,NORH2DUMMY,NOR region ELC for H2 dummy technology,,,,
,NORTRADUM,NOR dummy for Transport ELC,,,,
,NORTRNCEN,NOR to CEN Trasnmission,Power infrastructure,,Transmission,
,NORTRNVTE,NOR to VTE Transmission,Power infrastructure,,Transmission,
,PWRBINNOR,Battery IN NOR Region,Power infrastructure,,Battery IN,
,PWRBIO001CEN,Biomass power plant in CEN,Power generation,Biomass,,
,PWRBIO002SOU,Biomass power plant in SOU,Power generation,Biomass,,
,PWRBIO003CEN,Biomass power plant in CEN,Power generation,Biomass,,
,PWRBIO004CEN,Biomass power plant in CEN,Power generation,Biomass,,
,PWRBIO005CEN,Biomass power plant in CEN,Power generation,Biomass,,
,PWRBIO006NOR,Biomass power plant in NOR,Power generation,Biomass,,
,PWRBIO007SOU,Biomass power plant in SOU,Power generation,Biomass,,
,PWRBOUNOR,Battery OUT in NOR,Power infrastructure,,Battery OUT,
,PWRBST000CEN,Backstop Technology in CEN,Power generation,BACKSTOP,,
,PWRBST000NOR,Backstop Technology in NOR,Power generation,BACKSTOP,,
,PWRBST000SOU,Backstop Technology in SOU,Power generation,BACKSTOP,,
,PWRBST000VTE,Backstop Technology in VTE,Power generation,BACKSTOP,,
,PWRCOA001NOR,Coal Power plant in NOR,Power generation,Coal,,
,PWRCOA002SOU,Coal Power plant in SOU,Power generation,Coal,,
,PWRCOA003NOR,Coal Power plant in NOR,Power generation,Coal,,
,PWRCOA004CEN,Coal Power plant in CEN,Power generation,Coal,,
,PWRCOA005SOU,Coal Power plant in SOU,Power generation,Coal,,
,PWRCOA006NOR,Coal Power plant in NOR,Power generation,Coal,,
,PWRDISTCEN,Distribution technology in CEN,Power infrastructure,,Distribution,
,PWRDISTNOR,Distribution technology in NOR,Power infrastructure,,Distribution,
,PWRDISTSOU,Distribution technology in SOU,Power infrastructure,,Distribution,
,PWRDISTVTE,Distribution technology in VTE,Power infrastructure,,Distribution,
,PWRHYD001NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD002SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD003CEN,Hydro Power plant in CEN,Power generation,Hydro,,
,PWRHYD004SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD005NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD006NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD007SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD008NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD009CEN,Hydro Power plant in CEN,Power generation,Hydro,,
,PWRHYD010NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD011NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD012NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD013CEN,Hydro Power plant in CEN,Power generation,Hydro,,
,PWRHYD014NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD015SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD016SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD017NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD018NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD019SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD020NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD021NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD022NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD023NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD024NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD025NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD026NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD027NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD028NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD029NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD030SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD031SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD032NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD033NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD034NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD035SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD036NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD037SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD038NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD039SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD040NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD041SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD042SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD043NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD044NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD045NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD046CEN,Hydro Power plant in CEN,Power generation,Hydro,,
,PWRHYD047NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD048NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD049NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD050NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD051CEN,Hydro Power plant in CEN,Power generation,Hydro,,
,PWRHYD052NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD053SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD054SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD055CEN,Hydro Power plant in CEN,Power generation,Hydro,,
,PWRHYD056NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD057NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD058NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD059NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD060CEN,Hydro Power plant in CEN,Power generation,Hydro,,
,PWRHYD061SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD062SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD063NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD064SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD065NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD066NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD067SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD068NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD069NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD070CEN,Hydro Power plant in CEN,Power generation,Hydro,,
,PWRHYD071NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD072CEN,Hydro Power plant in CEN,Power generation,Hydro,,
,PWRHYD073NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD074SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD075NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD076NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD077NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD078CEN,Hydro Power plant in CEN,Power generation,Hydro,,
,PWRHYD079NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD080NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD081NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD082SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD083SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD084CEN,Hydro Power plant in CEN,Power generation,Hydro,,
,PWRHYD085SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD086SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD087NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD088NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD089NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD090NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD091NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD092NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD093NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD094NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD095CEN,Hydro Power plant in CEN,Power generation,Hydro,,
,PWRHYD096NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD097NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD098SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD099SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD100SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD101NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD102NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD103NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD104NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD105SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD106CEN,Hydro Power plant in CEN,Power generation,Hydro,,
,PWRHYD107SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD108SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD109SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD110NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD111SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD112NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD113CEN,Hydro Power plant in CEN,Power generation,Hydro,,
,PWRHYD114SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD115SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD116NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD117NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD118NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD119NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD120NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD121NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD122SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD123NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD124SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD125SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD126SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD127SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD128NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD129SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD130SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD131NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD132CEN,Hydro Power plant in CEN,Power generation,Hydro,,
,PWRHYD133NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD134NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD135SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD136NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD137SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD138NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD139NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD140NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD141SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD142SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD143NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD144NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD145CEN,Hydro Power plant in CEN,Power generation,Hydro,,
,PWRHYD146SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD147NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD148NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD149SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD150SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD151NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD152NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD153NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD154NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD155SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD156SOU,Hydro Power plant in SOU,Power generation,Hydro,,
,PWRHYD157NOR,Hydro Power plant in NOR,Power generation,Hydro,,
,PWRHYD158NOR,Hydro Power plant in NOR,Power generation,Hydro,,
